**Parse tree:**

```
(ROOT (S (SBARQ (WHNP (WDT Vilket)) (S (NP (NN motsvarade)) (VP (VBD fick) (NP (PRP man)) (VFN (VP (VBD ägna) (NP (NN timmar)) (ADVP (ADVP (RB kanske)) (NN dagar)) (PP (IN åt) (S (VP (VBG läsa) (NP (NP (NN rad)) (PP (IN efter) (NP (NN rad)))) (SBAR (IN för) (S (VP (VBN hitta) (NP (WP vad) (SBAR (S (NP (PRP man)) (VP (VBD sökte)))))))))) (, ) (NP (NP (NN Moderna) (NNS former)) (PP (IN av) (NP (NNS databaser)))) (VP (VBP är) (NP (NP (NNS tex.)) (, ) (NP (NNP Google)) (CC eller) (NP (NP (NN register)) (PP (IN som) (S (VP (VBP behandlar) (NP (NP (NN användare)) (PP (TO till) (NP (NP (NN olika) (NNS forum)) (CC eller) (NP (NNS communitys))))))))) (, ) (S (NP (NP (NN Här) (VP (VBP registrerar) (NP (NP (NN användaren)) (PP (IN sig) (NP (IN i) (NP (NN formulär))))) (SBAR (WHNP (SBAR (WHNP (WP som)) (S (VP (VBP lagrar) (NP (NP (NN uppgifterna)) (PP (IN i) (NP (NN databas))))))))) (, ) (NP (NN Nästa) (NN gång) (SBAR (S (NP (NN användaren)) (VP (VBP loggar) (PRT (RP in)) (PP (IN på) (NP (DT den) (JJ aktuella) (NN sidan))) (SBAR (S (VP (VBD hämtas) (NP (NN uppgifterna)) (PP (IN genom) (NP (NN databas))))))) (, ) (ADVP (RB sedan)) (VP (VBD skrivs) (PP (IN ut) (NP (NN skärmen)))))))) (, ) (NP (NNP Tex.))))
```

**Dependency relations:**

```
amod(Vilket, motsvarade)
nsubj(fick, man)
dobj(ägna, timmar)
amod(dagar, timmar)
cc(dagar, kanske)
prep_aat(ägna, dagar)
xcomp(fick, läsa)
nn(rad, rad)
prep_efter(rad, rad)
acl:relcl(läsa, rad)
mark(hitta, vad)
nsubj(hitta, vad)
nsubj(sökte, man)
acl:relcl(hitta, sökte)
appos(motsvarade, Moderna)
nn(former, Moderna)
prep_av(former, databaser)
cop(är, tex.)
dep(tex., Google)
cc(tex., Google)
conj(Google, register)
prep_som(register, användare)
prep_till(behandlar, användare)
amod(forum, olika)
nn(forum, forum)
cc(forum, communitys)
prep_i(registrerar, formulär)
acl:relcl(registrerar, formulär)
nsubj(registrerar, användaren)
prep_i(registrerar, sig)
nsubj(lagrar, uppgifterna)
acl:relcl(registrerar, lagrar)
prep_i(lagrar, databas)
nn(gång, Nästa)
conj(gång, Nästa)
nsubj(hämtas, uppgifterna)
acl:relcl(hämtas, loggar)
nsubj(loggar, användaren)
prep_pa(loggar, sidan)
acl:relcl(loggar, hämtas)
prep_genom(hämtas, databas)
advmod(skrivs, sedan)
prep_ut(skrivs, skärmen)
dep(dagar, tex.)
```

**Average dependency distance:**
```
144/43=3.35
```
