**Sentence:**

| Token | Head | Dependency Distance |
|---|---|---|
| Sverige | var | 1 |
| var | | 0 |
| också | var | 2 |
| på | var | 3 |
| den | tiden | 1 |
| tiden | ett | 2 |
| ett | utav | 3 |
| utav | världens | 4 |
| världens | fattigaste | 5 |
| fattigaste | u-länder | 6 |
| Dom | få | 1 |
| få | som | 2 |
| som | levde | 3 |
| levde | i | 4 |
| i | Stockholm | 5 |
| Stockholm | på | 6 |
| på | den | 7 |
| den | tiden | 8 |
| tiden | bodde | 9 |
| bodde | i | 10 |
| i | nuvarande | 11 |
| nuvarande | Gamla stan | 12 |
| Gamla stan | , | 13 |
| , | Norrmalm | 14 |
| Norrmalm | och | 15 |
| och | Södermalm | 16 |
| Södermalm | . | 17 |
| . | Utanför | 18 |
| Utanför | dessa | 19 |
| dessa | bostadsområden | 20 |
| bostadsområden | låg | 21 |
| låg | verkstäder | 22 |
| verkstäder | , | 23 |
| , | men | 24 |
| men | också | 25 |
| också | de | 26 |
| de | som | 27 |
| som | var | 28 |
| var | mycket | 29 |
| mycket | fattiga | 30 |
| fattiga | bodde | 31 |
| bodde | där | 32 |
| där | . | 33 |
| . | På | 34 |
| På | den | 35 |
| den | tiden | 36 |
| tiden | var | 37 |
| var | man | 38 |
| man | inte | 39 |
| inte | så | 40 |
| så | noggrann | 41 |
| noggrann | så | 42 |
| så | man | 43 |
| man | slängde | 44 |
| slängde | faktiskt | 45 |
| faktiskt | skräpet | 46 |
| skräpet | på | 47 |
| på | gatorna | 48 |
| gatorna | , | 49 |
| , | bara | 50 |
| bara | några | 51 |
| några | få | 52 |
| få | slängde | 53 |
| slängde | skräpet | 54 |
| skräpet | på | 55 |
| på | dom | 56 |
| dom | få | 57 |
| få | sopberg | 58 |
| sopberg | som | 59 |
| som | fanns | 60 |
| fanns | tillgängliga | 61 |
| tillgängliga | . | 62 |
| . | Det | 63 |
| Det | gjorde | 64 |
| gjorde | man | 65 |
| man | nog | 66 |
| nog | för | 67 |
| för | man | 68 |
| man | inte | 69 |
| inte | visste | 70 |
| visste | hur | 71 |
| hur | mycket | 72 |
| mycket | det | 73 |
| det | skadade | 74 |
| skadade | miljön | 75 |
| miljön | . | 76 |

**Average Dependency Distance:**

(1 + 2 + 3 + 4 + 5 + 6 + 1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12 + 13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24 + 25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36 + 37 + 38 + 39 + 40 + 41 + 42 + 43 + 44 + 45 + 46 + 47 + 48 + 49 + 50 + 51 + 52 + 53 + 54 + 55 + 56 + 57 + 58 + 59 + 60 + 61 + 62 + 63 + 64 + 65 + 66 + 67 + 68 + 69 + 70 + 71 + 72 + 73 + 74 + 75 + 76) / 76 = **26.16**
