| Token     | Head      | Dependency Distance |
|:---------:|:---------:|:---------------------:|
| Simuleringsresultat | jämfördes           | 5                     |
| från       | Simuleringsresultat   | 1                     |
| GT-Fuel    | från                 | 2                     |
| jämfördes  | gjordes               | 2                     |
| med        | jämfördes             | 1                     |
| ACSL       | med                   | 2                     |
| detta      | gjordes               | 1                     |
| gjordes     | modeller              | 3                     |
| för        | gjordes               | 1                     |
| att        | verifiera            | 3                     |
| verifiera   | gjordes               | 2                     |
| det        | verifiera            | 1                     |
| hydromekaniska | systemet             | 2                     |
| systemet   | verifiera            | 1                     |
| Simuleringsresultatet | jämfördes           | 5                     |
| från       | Simuleringsresultatet | 1                     |
| den        | modellen              | 2                     |
| elektriska  | modellen              | 2                     |
| modellen    | jämfördes            | 1                     |
| jämfördes  | fram                 | 4                     |
| med        | jämfördes            | 1                     |
| ett        | resultat              | 2                     |
| resultat    | fram                 | 1                     |
| som        | fram                 | 1                     |
| togs       | fram                 | 1                     |
| fram       | jämfördes            | 2                     |
| från       | modellen              | 2                     |
| en         | modellen              | 1                     |
| Simulink   | modellen              | 2                     |
| modellen    | fram                 | 1                     |
| Dessa      | jämförelser            | 2                     |
| jämförelser | gjorda                 | 3                     |
| visar       | jämförelser            | 1                     |
| att        | visar                 | 2                     |
| simuleringsmodellen | överensstämmer      | 5                     |
| överensstämmer | modeller              | 2                     |
| till       | överensstämmer        | 1                     |
| viss       | del                   | 2                     |
| del        | överensstämmer        | 1                     |
| med        | del                   | 1                     |
| tidigare    | gjorda                 | 3                     |
| gjorda      | modeller              | 2                     |
| modeller    | överensstämmer        | 1                     |
| Piezoelektrisk | elementen             | 2                     |
| elementen   | modellerad             | 1                     |
| i          | Piezoelektrisk         | 1                     |
| GT-Fuel     | elementen             | 2                     |
| är         | modellerad            | 1                     |
| enkelt     | modellerad            | 2                     |
| modellerad  | Piezoelektrisk         | 1                     |
| som        | täcker                 | 3                     |
| inte       | täcker                 | 1                     |
| täcker      | elementen             | 2                     |
| alla       | strömkretsen            | 3                     |
| strömkretsen | täcker                 | 2                     |
| i          | strömkretsen            | 1                     |
| detta       | elementen             | 2                     |
| element     | Strömkretsen            | 1                     |

The average dependency distance is 2.13
