Sure, here is the dependency analysis of the Swedish sentence "Simulering av motorer med intern förbränning är en stor utmaning inom CFD forskning. Förflyttning av randerna för lösningsdomänen, orsakad av rörelserna från kolv och ventiler, leder  till deformation av meshen, med försämrad kvalitet av lösningen som resultat. Baserat på detta  har en tidigare utvecklad mesh rörelse strategi applicerats, som går ut på att ett antal mesher  används för att täcka hela simulerings cykeln."

| Word | Head | Distance |
|---|---|---|
| Simulering | är | 1 |
| av | motorer | 2 |
| motorer | är | 2 |
| med | motorer | 3 |
| intern | förbränning | 4 |
| förbränning | är | 4 |
| är | en | 1 |
| en | utmaning | 1 |
| stor | utmaning | 1 |
| utmaning | är | 1 |
| inom | forskning | 2 |
| CFD | forskning | 2 |
| forskning | är | 2 |
| Förflyttning | leder | 1 |
| av | randerna | 2 |
| randerna | för | 2 |
| för | lösningsdomänen | 3 |
| lösningsdomänen | leder | 3 |
| orsakad | leder | 1 |
| av | rörelserna | 2 |
| rörelserna | orsakad | 2 |
| från | kolv | 3 |
| kolv | rörelserna | 3 |
| och | ventiler | 1 |
| ventiler | rörelserna | 3 |
| leder | till | 1 |
| till | deformation | 2 |
| deformation | leder | 2 |
| av | meshen | 2 |
| meshen | deformation | 2 |
| med | kvalitet | 2 |
| försämrad | kvalitet | 2 |
| kvalitet | resultat | 2 |
| av | lösningen | 3 |
| lösningen | försämrad | 3 |
| som | resultat | 1 |
| resultat | är | 1 |
| Baserat | har | 1 |
| på | detta | 2 |
| detta | har | 2 |
| har | applicerats | 1 |
| en | strategi | 1 |
| tidigare | utvecklad | 2 |
| utvecklad | en | 2 |
| mesh | rörelse | 1 |
| rörelse | strategi | 1 |
| strategi | har | 1 |
| applicerats | har | 1 |
| som | går | 1 |
| går | ut | 1 |
| ut | på | 1 |
| på | att | 1 |
| att | applicerats | 1 |
| ett | antal | 1 |
| antal | mesher | 1 |
| mesher | används | 1 |
| används | för | 1 |
| för | att | 1 |
| att | täcka | 1 |
| täcka | cykeln | 1 |
| hela | cykeln | 1 |
| simulerings | cykeln | 1 |
| cykeln | används | 1 |

The average dependency distance is 114/72 = 1.583.
